name,game_date,shot_made_flag
Anthony Davis,2016-02-21,1
Anthony Davis,2016-02-21,0
Anthony Davis,2016-02-21,0
Anthony Davis,2016-02-21,1
Anthony Davis,2016-02-21,1
Anthony Davis,2016-02-21,1
Anthony Davis,2016-02-21,0
Anthony Davis,2016-02-21,1
Anthony Davis,2016-02-21,0
Anthony Davis,2016-02-21,1
Anthony Davis,2016-02-21,1
Anthony Davis,2016-02-21,1
Anthony Davis,2016-02-21,1
Anthony Davis,2016-02-21,1
Anthony Davis,2016-02-21,0
Anthony Davis,2016-02-21,0
Anthony Davis,2016-02-21,1
Anthony Davis,2016-02-21,1
Anthony Davis,2016-02-21,1
Anthony Davis,2016-02-21,1
Anthony Davis,2016-02-21,0
Anthony Davis,2016-02-21,0
Anthony Davis,2016-02-21,1
Anthony Davis,2016-02-21,1
Anthony Davis,2016-02-21,1
Anthony Davis,2016-02-21,1
Anthony Davis,2016-02-21,0
Anthony Davis,2016-02-21,1
Anthony Davis,2016-02-21,0
Anthony Davis,2016-02-21,1
Anthony Davis,2016-02-21,1
Anthony Davis,2016-02-21,1
Anthony Davis,2016-02-21,1
Anthony Davis,2016-02-21,1
