name,game_date,shot_made_flag
Carmelo Anthony,2014-01-24,1
Carmelo Anthony,2014-01-24,0
Carmelo Anthony,2014-01-24,0
Carmelo Anthony,2014-01-24,1
Carmelo Anthony,2014-01-24,1
Carmelo Anthony,2014-01-24,1
Carmelo Anthony,2014-01-24,1
Carmelo Anthony,2014-01-24,1
Carmelo Anthony,2014-01-24,0
Carmelo Anthony,2014-01-24,1
Carmelo Anthony,2014-01-24,1
Carmelo Anthony,2014-01-24,1
Carmelo Anthony,2014-01-24,0
Carmelo Anthony,2014-01-24,1
Carmelo Anthony,2014-01-24,1
Carmelo Anthony,2014-01-24,1
Carmelo Anthony,2014-01-24,1
Carmelo Anthony,2014-01-24,0
Carmelo Anthony,2014-01-24,1
Carmelo Anthony,2014-01-24,0
Carmelo Anthony,2014-01-24,1
Carmelo Anthony,2014-01-24,0
Carmelo Anthony,2014-01-24,0
Carmelo Anthony,2014-01-24,1
Carmelo Anthony,2014-01-24,1
Carmelo Anthony,2014-01-24,1
Carmelo Anthony,2014-01-24,1
Carmelo Anthony,2014-01-24,1
Carmelo Anthony,2014-01-24,1
Carmelo Anthony,2014-01-24,1
Carmelo Anthony,2014-01-24,1
Carmelo Anthony,2014-01-24,0
Carmelo Anthony,2014-01-24,1
Carmelo Anthony,2014-01-24,1
Carmelo Anthony,2014-01-24,0
Carmelo Anthony,2014-01-24,0
Carmelo Anthony,2014-01-24,0
Carmelo Anthony,2014-01-24,0
Carmelo Anthony,2014-01-24,0
Carmelo Anthony,2014-01-24,1
