name,game_date,shot_made_flag
James Harden,2018-01-30,0
James Harden,2018-01-30,1
James Harden,2018-01-30,1
James Harden,2018-01-30,1
James Harden,2018-01-30,1
James Harden,2018-01-30,1
James Harden,2018-01-30,0
James Harden,2018-01-30,0
James Harden,2018-01-30,0
James Harden,2018-01-30,1
James Harden,2018-01-30,1
James Harden,2018-01-30,1
James Harden,2018-01-30,0
James Harden,2018-01-30,0
James Harden,2018-01-30,0
James Harden,2018-01-30,1
James Harden,2018-01-30,1
James Harden,2018-01-30,1
James Harden,2018-01-30,1
James Harden,2018-01-30,1
James Harden,2018-01-30,0
James Harden,2018-01-30,1
James Harden,2018-01-30,1
James Harden,2018-01-30,1
James Harden,2018-01-30,1
James Harden,2018-01-30,0
James Harden,2018-01-30,0
James Harden,2018-01-30,1
James Harden,2018-01-30,0
James Harden,2018-01-30,1
