name,game_date,shot_made_flag
Klay Thompson,2016-12-05,1
Klay Thompson,2016-12-05,1
Klay Thompson,2016-12-05,0
Klay Thompson,2016-12-05,1
Klay Thompson,2016-12-05,1
Klay Thompson,2016-12-05,1
Klay Thompson,2016-12-05,1
Klay Thompson,2016-12-05,0
Klay Thompson,2016-12-05,0
Klay Thompson,2016-12-05,1
Klay Thompson,2016-12-05,0
Klay Thompson,2016-12-05,1
Klay Thompson,2016-12-05,1
Klay Thompson,2016-12-05,1
Klay Thompson,2016-12-05,1
Klay Thompson,2016-12-05,1
Klay Thompson,2016-12-05,1
Klay Thompson,2016-12-05,0
Klay Thompson,2016-12-05,0
Klay Thompson,2016-12-05,1
Klay Thompson,2016-12-05,0
Klay Thompson,2016-12-05,1
Klay Thompson,2016-12-05,0
Klay Thompson,2016-12-05,1
Klay Thompson,2016-12-05,1
Klay Thompson,2016-12-05,1
Klay Thompson,2016-12-05,0
Klay Thompson,2016-12-05,0
Klay Thompson,2016-12-05,1
Klay Thompson,2016-12-05,0
Klay Thompson,2016-12-05,1
Klay Thompson,2016-12-05,0
Klay Thompson,2016-12-05,1
