name,game_date,shot_made_flag
Stephen Curry,2013-02-27,0
Stephen Curry,2013-02-27,1
Stephen Curry,2013-02-27,0
Stephen Curry,2013-02-27,1
Stephen Curry,2013-02-27,0
Stephen Curry,2013-02-27,0
Stephen Curry,2013-02-27,0
Stephen Curry,2013-02-27,1
Stephen Curry,2013-02-27,1
Stephen Curry,2013-02-27,1
Stephen Curry,2013-02-27,1
Stephen Curry,2013-02-27,1
Stephen Curry,2013-02-27,0
Stephen Curry,2013-02-27,1
Stephen Curry,2013-02-27,0
Stephen Curry,2013-02-27,1
Stephen Curry,2013-02-27,1
Stephen Curry,2013-02-27,1
Stephen Curry,2013-02-27,1
Stephen Curry,2013-02-27,0
Stephen Curry,2013-02-27,1
Stephen Curry,2013-02-27,1
Stephen Curry,2013-02-27,0
Stephen Curry,2013-02-27,1
Stephen Curry,2013-02-27,1
Stephen Curry,2013-02-27,1
Stephen Curry,2013-02-27,1
Stephen Curry,2013-02-27,0
